serial No,Korean,Math,English,Inquiry 1,Inquiry 2,University,Tutoring Period,University_rank,chance of admit
84,9,2,5,4,6,Sungkyunkwan University,1,45,0.1950916970111174
496,1,5,9,6,7,Sungkyunkwan University,3,45,1.0
447,1,6,1,9,1,Sungkyunkwan University,3,45,1.0
411,5,2,6,1,6,Sungkyunkwan University,2,45,0.69
292,6,2,9,6,4,Sungkyunkwan University,4,45,0.2899999999999999
288,9,8,6,6,5,Sungkyunkwan University,3,45,0.94
129,8,5,1,6,1,Sungkyunkwan University,2,45,0.69
23,6,9,9,7,2,Sungkyunkwan University,2,45,0.69
288,8,7,2,5,3,Sungkyunkwan University,3,45,0.94
230,4,6,8,8,8,Sungkyunkwan University,1,45,0.54
23,9,6,8,2,3,Sungkyunkwan University,2,45,0.69
129,6,3,7,9,1,Sungkyunkwan University,2,45,0.69
346,1,2,2,9,2,Sungkyunkwan University,4,45,0.1234903515320727
364,7,3,2,2,1,Sungkyunkwan University,3,45,0.5893778288683955
447,6,6,1,2,5,Sungkyunkwan University,3,45,1.0
430,2,6,1,4,9,Sungkyunkwan University,3,45,1.0
208,4,5,4,1,3,Sungkyunkwan University,1,45,0.4399999999999999
439,1,6,2,7,8,Sungkyunkwan University,3,45,0.94
208,5,2,1,1,6,Sungkyunkwan University,1,45,0.4399999999999999
419,4,7,6,4,6,Sungkyunkwan University,1,45,0.54
496,3,2,5,7,1,Sungkyunkwan University,3,45,1.0
346,4,3,8,4,2,Sungkyunkwan University,4,45,0.0
288,8,6,3,4,6,Sungkyunkwan University,3,45,0.94
23,8,9,8,5,1,Sungkyunkwan University,2,45,0.2855110322037878
447,4,9,5,7,1,Sungkyunkwan University,3,45,1.0
208,6,9,1,9,9,Sungkyunkwan University,1,45,0.3101482066142578
439,7,3,4,7,4,Sungkyunkwan University,3,45,0.7279361816835701
208,8,2,7,6,3,Sungkyunkwan University,1,45,0.4399999999999999
364,1,3,1,2,9,Sungkyunkwan University,3,45,0.94
346,8,3,1,1,1,Sungkyunkwan University,4,45,0.0
230,9,7,9,8,8,Sungkyunkwan University,1,45,0.54
401,8,8,1,6,4,Sungkyunkwan University,1,45,0.4399999999999999
497,4,8,3,1,5,Sungkyunkwan University,2,45,0.79
230,9,3,5,4,1,Sungkyunkwan University,1,45,0.1748534733058826
464,7,1,7,4,8,Sungkyunkwan University,1,45,0.4399999999999999
230,3,3,4,6,7,Sungkyunkwan University,1,45,0.54
430,4,8,7,4,1,Sungkyunkwan University,3,45,0.8327989975738317
419,9,4,9,6,2,Sungkyunkwan University,1,45,0.54
287,9,1,5,6,5,Sungkyunkwan University,3,45,0.94
419,2,1,2,2,1,Sungkyunkwan University,1,45,0.54
496,8,4,8,8,7,Sungkyunkwan University,3,45,0.8115642571271143
464,7,4,4,5,9,Sungkyunkwan University,1,45,0.2326303234623439
364,6,7,5,1,8,Sungkyunkwan University,3,45,0.94
430,2,4,2,5,2,Sungkyunkwan University,3,45,0.5683864130476808
439,1,5,1,6,9,Sungkyunkwan University,3,45,0.5077707015364795
318,9,5,9,6,3,Sungkyunkwan University,4,45,0.2899999999999999
292,6,8,6,7,6,Sungkyunkwan University,4,45,0.2899999999999999
439,3,3,1,1,6,Sungkyunkwan University,3,45,0.8150253146639578
288,3,8,8,2,7,Sungkyunkwan University,3,45,0.8178217426152908
346,7,9,3,7,5,Sungkyunkwan University,4,45,0.2899999999999999
496,2,9,3,1,8,Sungkyunkwan University,3,45,1.0
497,5,2,1,2,8,Sungkyunkwan University,2,45,0.79
