serial No,Korean,Math,English,Social Studies,Science,University,Tutoring Period,University_rank,chance of admit
84,85,42,78,70,83,Sungkyunkwan University,1,45,0.1950916970111174
496,92,94,67,62,99,Sungkyunkwan University,3,45,1.0
447,92,71,97,65,75,Sungkyunkwan University,3,45,1.0
411,77,78,77,60,73,Sungkyunkwan University,2,45,0.69
292,65,89,84,81,67,Sungkyunkwan University,4,45,0.2899999999999999
288,68,68,91,64,63,Sungkyunkwan University,3,45,0.94
129,78,64,68,82,86,Sungkyunkwan University,2,45,0.69
23,64,84,67,92,66,Sungkyunkwan University,2,45,0.69
288,68,68,91,64,63,Sungkyunkwan University,3,45,0.94
230,88,96,60,91,74,Sungkyunkwan University,1,45,0.54
23,64,84,67,92,66,Sungkyunkwan University,2,45,0.69
129,78,64,68,82,86,Sungkyunkwan University,2,45,0.69
346,35,76,65,63,38,Sungkyunkwan University,4,45,0.12349035153207272
364,64,46,66,45,43,Sungkyunkwan University,3,45,0.5893778288683955
447,92,71,97,65,75,Sungkyunkwan University,3,45,1.0
430,88,90,62,67,97,Sungkyunkwan University,3,45,1.0
208,64,61,69,88,84,Sungkyunkwan University,1,45,0.4399999999999999
439,79,71,89,90,67,Sungkyunkwan University,3,45,0.94
208,64,61,69,88,84,Sungkyunkwan University,1,45,0.4399999999999999
419,71,81,71,87,92,Sungkyunkwan University,1,45,0.54
496,92,94,67,62,99,Sungkyunkwan University,3,45,1.0
346,34,70,66,64,32,Sungkyunkwan University,4,45,0.0
288,68,68,91,64,63,Sungkyunkwan University,3,45,0.94
23,49,69,43,72,49,Sungkyunkwan University,2,45,0.2855110322037878
447,92,71,97,65,75,Sungkyunkwan University,3,45,1.0
208,51,34,41,72,65,Sungkyunkwan University,1,45,0.31014820661425785
439,66,42,61,79,57,Sungkyunkwan University,3,45,0.7279361816835701
208,64,61,69,88,84,Sungkyunkwan University,1,45,0.4399999999999999
364,89,62,76,73,72,Sungkyunkwan University,3,45,0.94
346,52,59,55,78,43,Sungkyunkwan University,4,45,0.0
230,88,96,60,91,74,Sungkyunkwan University,1,45,0.54
401,77,65,86,68,77,Sungkyunkwan University,1,45,0.4399999999999999
497,82,72,98,78,76,Sungkyunkwan University,2,45,0.79
230,64,81,44,65,58,Sungkyunkwan University,1,45,0.17485347330588263
464,60,79,90,71,95,Sungkyunkwan University,1,45,0.4399999999999999
