Name,Gender,Age,Subject,Preferred_time,Location
선생님1,남자,26,"수학, 사회",주말 오전,강남구 청담동
선생님2,여자,23,과학,주말 오후,강남구 논현1동
선생님3,여자,26,"수학, 영어",평일 오후,강서구 염창동
선생님4,여자,22,"영어, 사회, 과학",평일 오후,광진구 중곡1동
선생님5,여자,28,"수학, 과학",평일 오후,강남구 신사동
선생님6,남자,27,국어,주말 오전,강서구 염창동
선생님7,남자,22,"영어, 사회",주말 오전,강남구 논현1동
선생님8,남자,21,"영어, 사회",평일 오후,광진구 중곡1동
선생님9,남자,23,"국어, 사회, 수학, 과학, 영어",주말 오후,강남구 청담동
선생님10,여자,22,"수학, 국어",주말 오후,강남구 신사동
선생님11,여자,21,"과학, 수학, 국어",평일 오후,강북구 미아동
선생님12,여자,24,"영어, 수학",평일 오전,강남구 논현1동
선생님13,여자,27,"사회, 수학, 영어, 국어, 과학",평일 오전,강서구 염창동
선생님14,여자,22,국어,주말 오후,강북구 미아동
선생님15,남자,25,"국어, 과학, 사회, 수학, 영어",평일 오후,강북구 미아동
선생님16,여자,22,"과학, 국어, 사회, 영어",평일 오전,강동구 강일동
선생님17,남자,30,"국어, 과학, 수학, 사회, 영어",평일 오후,광진구 중곡1동
선생님18,여자,21,"영어, 수학, 국어",평일 오후,강남구 논현1동
선생님19,여자,26,"과학, 영어, 사회, 국어",평일 오후,강남구 청담동
선생님20,남자,20,"영어, 수학, 국어, 사회",평일 오후,관악구 은천동
선생님21,여자,25,"수학, 과학",주말 오후,강남구 청담동
선생님22,남자,25,"과학, 수학, 국어",평일 오후,광진구 중곡1동
선생님23,여자,28,사회,주말 오전,관악구 은천동
선생님24,남자,21,"과학, 영어, 수학, 국어, 사회",평일 오전,강서구 염창동
선생님25,남자,23,"수학, 사회",평일 오후,광진구 중곡1동
선생님26,여자,30,영어,주말 오전,강남구 신사동
선생님27,여자,23,"사회, 국어, 과학, 영어, 수학",주말 오후,강동구 강일동
선생님28,남자,24,"영어, 수학, 국어",주말 오후,강동구 강일동
선생님29,여자,30,"사회, 영어",평일 오후,강동구 강일동
선생님30,남자,21,"과학, 영어",평일 오전,광진구 중곡1동
선생님31,남자,22,"수학, 국어",주말 오후,광진구 중곡1동
선생님32,여자,27,"영어, 국어, 사회, 과학, 수학",주말 오후,강남구 논현1동
선생님33,여자,20,"수학, 과학, 영어, 사회, 국어",주말 오전,강서구 염창동
선생님34,남자,25,국어,주말 오전,강서구 염창동
선생님35,여자,23,"과학, 수학, 영어, 사회",평일 오후,강남구 논현1동
선생님36,여자,30,"과학, 사회, 수학",평일 오후,강남구 청담동
선생님37,남자,20,"과학, 사회, 영어",주말 오전,강남구 신사동
선생님38,남자,22,"영어, 국어, 과학",평일 오전,강남구 청담동
선생님39,남자,30,"수학, 과학, 사회, 영어",주말 오후,관악구 은천동
선생님40,남자,27,"수학, 사회, 영어, 과학, 국어",평일 오후,강남구 논현1동
선생님41,여자,27,"국어, 영어, 수학, 과학",주말 오전,강동구 강일동
선생님42,여자,27,"수학, 영어",평일 오후,강남구 청담동
